id,ticket_type,feature,title,description,root_cause,resolution,review_comment,status,created_at
11,故障管理,検索機能,オートコンプリートの候補が表示されない,テキスト入力時に候補が出ずドロップダウンが空になる。IE11のみで発生。,Promise.allSettledがIE11未対応のため、JavaScriptエラーが発生していた。,polyfillを追加し、対応ブラウザ一覧をドキュメントに記載。,サポートブラウザの機能互換性確認をFEレビューのチェックリストに追加すること,解決済み,2025-12-01
12,故障管理,在庫管理,在庫アラートメールが送信されない,在庫が閾値を下回ってもアラートメールが来ない。,定期バッチのcron設定が本番環境に適用されていなかった。,デプロイ手順書にcron設定確認の手順を追加し、CI/CDで自動反映するよう修正。,環境依存の設定はIaC（Infrastructure as Code）で管理すること,解決済み,2025-12-05
13,故障管理,ログイン機能,多要素認証のTOTPコードが無効扱いになる,認証アプリで生成したTOTPコードが正しくても「無効なコード」と表示される。,サーバーのシステム時刻がNTPと30秒以上ずれており、TOTP検証ウィンドウ外になっていた。,NTPの設定を修正し、時刻同期監視を追加。,セキュリティ機能のデプロイ前にサーバー時刻確認を手順書に追加すること,解決済み,2025-12-10
14,故障管理,通知機能,Slack通知のメッセージが文字化けする,Slack通知に日本語が含まれると文字化けして届く。,Content-TypeヘッダーのCharsetをUTF-8に指定していなかった。,HTTPリクエストのContent-TypeにCharset=UTF-8を明示的に設定。,外部API連携時の文字コード設定はレビューチェックリストに追加すること,解決済み,2025-12-15
15,故障管理,決済機能,返金処理が完了しても注文ステータスが更新されない,返金後も注文が「支払済み」のまま。,返金完了のWebhookを受信する処理が実装されていなかった。,返金完了Webhookのエンドポイントを実装し、注文ステータスを「返金済み」に更新。,外部サービスのWebhook仕様は設計段階でER図に反映すること,解決済み,2025-12-20
16,課題管理,ログイン機能,パスワードポリシーの強化対応,現行のパスワードポリシー（8文字以上）をセキュリティ要件に合わせて強化する必要がある。,要件未定義のまま実装されていたため、現行ポリシーが脆弱。,12文字以上・大小英字・数字・記号を必須とするポリシーに変更。既存ユーザーは次回ログイン時に強制変更。,パスワードポリシーは要件定義フェーズでセキュリティ担当レビューを必須とすること,完了,2025-10-20
17,課題管理,検索機能,検索インデックスのメモリ使用量改善,本番環境でElasticsearchのヒープ使用率が常時80%を超えておりOOMリスクがある。,不要なフィールドまで全てインデックス対象としていた。,インデックス対象フィールドを絞り込み、ヒープ使用率を50%以下に改善。,インデックス設計は初期リリース前にインフラレビューで確認すること,完了,2025-10-25
18,課題管理,帳票出力,帳票テンプレートの多言語化対応,帳票が日本語のみ対応。英語・中国語での出力に対応する必要がある。,テンプレートにハードコードされた日本語文字列が多数存在する。,i18nフレームワークを導入し、テンプレートの文字列を外部化。英語・中国語の翻訳リソースを追加。,初期設計段階で多言語化要否を確認し、アーキテクチャに組み込むこと,完了,2025-11-08
19,課題管理,在庫管理,在庫数のリアルタイム表示機能追加,受注画面で在庫数が古い情報のまま表示され、二重受注が発生するリスクがある。,画面初期表示時のみ在庫数を取得しており、リアルタイム性がなかった。,WebSocketを使ってサーバーからプッシュ通知する形式に変更し、在庫変動を即時反映。,リアルタイム性が求められる機能はアーキテクチャ設計で通信方式を明確にすること,完了,2025-11-15
20,課題管理,ユーザー管理,ユーザー一括インポート機能の追加,CSVでのユーザー一括登録機能がなく、大量ユーザー登録時に工数がかかっている。,機能が存在しなかった。,CSVアップロード→バリデーション→バックグラウンドで一括登録する機能を実装。エラー行はレポート出力。,一括処理はバリデーションエラーのハンドリングを設計段階で詳細化すること,完了,2025-11-22
21,課題管理,決済機能,定期課金の失敗時リトライ機能追加,クレジットカード期限切れ等で定期課金が失敗した場合のリトライ処理がない。,機能が存在しなかった。,失敗後3日・7日・14日にリトライし、3回失敗でユーザー通知＋サービス停止するフローを実装。,課金失敗フローはビジネスルールを要件定義書に詳細化してからレビューすること,完了,2025-12-03
22,課題管理,通知機能,通知設定のユーザーカスタマイズ機能,ユーザーが通知のON/OFFや頻度を設定できない。全通知が強制送信されている。,設定機能が存在しなかった。,通知種別ごとにON/OFF・即時/日次サマリーを選択できる設定画面を追加。,ユーザー体験に関わる設定機能はUXレビューを必ず実施すること,完了,2025-12-08
23,課題管理,ファイルアップロード,ウイルススキャン機能の追加,アップロードされたファイルのウイルスチェックが行われていない。,セキュリティ要件が後から追加された。,ClamAVを導入しアップロード時にスキャンを実施。感染ファイルは隔離して管理者に通知。,セキュリティ要件は要件定義フェーズで洗い出し、アーキテクチャに組み込むこと,完了,2025-12-18
24,課題管理,在庫管理,在庫引き当てロジックのリファクタリング,在庫引き当て処理が複雑化しており、新機能追加のたびにバグが発生しやすい状態。,処理が単一クラスに集中しており、テストカバレッジも低い。,ドメインモデルを整理しサービス層に分離。ユニットテストカバレッジを40%→85%に向上。,複雑化した処理のリファクタリングは技術的負債として定期的にバックログに積むこと,完了,2025-12-22
25,レビュー指摘,ログイン機能,SQLインジェクション対策漏れ,ユーザー入力値を直接SQLクエリに連結しているコードが存在する。,レビュー指摘（セキュリティ）,パラメータ化クエリに修正。,ユーザー入力値は必ずパラメータ化クエリまたはORMのバインド変数を使用すること,解決済み,2025-10-08
26,レビュー指摘,検索機能,N+1クエリ問題,検索結果一覧でN+1クエリが発生しており、件数が多いと著しく遅い。,レビュー指摘（パフォーマンス）,Eager Loadingに修正。,一覧表示系の実装はクエリ発行数をレビュー時に必ず確認すること,解決済み,2025-10-10
27,レビュー指摘,ファイルアップロード,ファイル拡張子のホワイトリスト検証なし,アップロード時にファイルタイプをContent-Typeのみで判定しており、偽装が可能。,レビュー指摘（セキュリティ）,拡張子とMagic Byte（ファイル先頭バイト）の両方で検証するよう修正。,ファイルアップロード機能のセキュリティ要件をレビューチェックリストに標準追加すること,解決済み,2025-10-16
28,レビュー指摘,ユーザー管理,パスワードの平文ログ出力,ログにパスワードが平文で出力されているコードが存在する。,レビュー指摘（セキュリティ）,ログ出力対象からパスワードフィールドを除外するマスク処理を追加。,個人情報・認証情報を含むフィールドはログ出力禁止リストを整備すること,解決済み,2025-10-22
29,レビュー指摘,決済機能,決済金額の整数オーバーフローリスク,金額計算に32bit整数を使用しており、大きな金額で桁あふれが起きる可能性がある。,レビュー指摘（バグリスク）,金額計算は全てBigDecimalを使用するよう修正。,金額・数量計算は型の選択理由をコメントに記載し、レビューで確認すること,解決済み,2025-10-28
30,レビュー指摘,通知機能,例外握りつぶしのコードパターン,通知送信処理でcatch(Exception e){}が散在しており、エラーが検知されない。,レビュー指摘（品質）,適切なログ出力とリトライロジックに修正。,例外の握りつぶしはコードレビューでNG判定とする基準をルール化すること,解決済み,2025-11-03
31,レビュー指摘,帳票出力,DateTimeのタイムゾーン考慮なし,帳票の日時表示がサーバーのローカルタイムに依存しており、海外展開時に誤表示になる。,レビュー指摘（バグリスク）,UTC統一＋表示時にユーザーのタイムゾーン変換を行うよう修正。,日時を扱う処理はタイムゾーン方針をアーキテクチャドキュメントに明記すること,解決済み,2025-11-09
32,レビュー指摘,在庫管理,トランザクション境界が不明確,複数テーブルを更新する処理でトランザクションが一部しか張られていない。,レビュー指摘（バグリスク）,サービス層全体をトランザクション境界として統一し、ロールバック動作を確認。,複数テーブル更新はトランザクション設計をシーケンス図に必ず記載すること,解決済み,2025-11-16
33,レビュー指摘,ログイン機能,CSRF対策が未実装,フォーム送信系の処理にCSRFトークンが付与されていない。,レビュー指摘（セキュリティ）,フレームワークのCSRF保護機能を有効化し、全フォームに適用。,認証・フォーム系の新機能はセキュリティレビューをゲートとすること,解決済み,2025-11-24
34,レビュー指摘,検索機能,全文検索のスコアリングが考慮されていない,検索結果が関連度順でなく登録日順で返され、ユーザー体験が悪い。,レビュー指摘（UX/品質）,Elasticsearchのスコアリングを活用し、関連度順でソートするよう修正。,全文検索の実装方針（スコアリング・ハイライト等）をFE/BEレビューで確認すること,解決済み,2025-12-06
35,レビュー指摘,ファイルアップロード,一時ファイルが削除されない,アップロード処理中に生成される一時ファイルがエラー時に残り続ける。,レビュー指摘（リソースリーク）,finallyブロックで一時ファイルを確実に削除するよう修正。,リソースのクリーンアップ処理はfinally/try-with-resourcesパターンで実装すること,解決済み,2025-12-11
